,report_name,company_id,company_name,period_year,season,acct_name,this_year_amt,this_year_percent,last_year_amt,last_year_percent,creation_date,seq
312,CashFlowStatement,1104,環泥,112,1,取得採用權益法之投資,0.0,0.0,-47928.0,0.0,2024-04-10 14:18:16,41
313,CashFlowStatement,1104,環泥,112,1,對子公司之收購（扣除所取得之現金）,0.0,0.0,-9300.0,0.0,2024-04-10 14:18:16,42
314,CashFlowStatement,1104,環泥,112,1,取得不動產、廠房及設備,-46893.0,0.0,-19091.0,0.0,2024-04-10 14:18:16,43
315,CashFlowStatement,1104,環泥,112,1,處分不動產、廠房及設備,256.0,0.0,6461.0,0.0,2024-04-10 14:18:16,44
316,CashFlowStatement,1104,環泥,112,1,取得無形資產,-344.0,0.0,-423.0,0.0,2024-04-10 14:18:16,45
317,CashFlowStatement,1104,環泥,112,1,取得投資性不動產,0.0,0.0,-247.0,0.0,2024-04-10 14:18:16,46
318,CashFlowStatement,1104,環泥,112,1,投資活動之淨現金流入（流出）,18029.0,0.0,-68348.0,0.0,2024-04-10 14:18:16,47
319,CashFlowStatement,1104,環泥,112,1,籌資活動之現金流量,0.0,0.0,0.0,0.0,2024-04-10 14:18:16,48
320,CashFlowStatement,1104,環泥,112,1,短期借款減少,-89000.0,0.0,416000.0,0.0,2024-04-10 14:18:16,49
321,CashFlowStatement,1104,環泥,112,1,應付短期票券減少,-250000.0,0.0,-265000.0,0.0,2024-04-10 14:18:16,50
322,CashFlowStatement,1104,環泥,112,1,舉借長期借款,280000.0,0.0,0.0,0.0,2024-04-10 14:18:17,51
323,CashFlowStatement,1104,環泥,112,1,存入保證金增加,100.0,0.0,160.0,0.0,2024-04-10 14:18:17,52
324,CashFlowStatement,1104,環泥,112,1,存入保證金減少,-430.0,0.0,-60.0,0.0,2024-04-10 14:18:17,53
325,CashFlowStatement,1104,環泥,112,1,租賃本金償還,-13781.0,0.0,-14179.0,0.0,2024-04-10 14:18:17,54
326,CashFlowStatement,1104,環泥,112,1,支付之利息,-16402.0,0.0,-6992.0,0.0,2024-04-10 14:18:17,55
327,CashFlowStatement,1104,環泥,112,1,籌資活動之淨現金流入（流出）,-89513.0,0.0,129929.0,0.0,2024-04-10 14:18:17,56
328,CashFlowStatement,1104,環泥,112,1,本期現金及約當現金增加（減少）數,55861.0,0.0,29892.0,0.0,2024-04-10 14:18:17,57
329,CashFlowStatement,1104,環泥,112,1,期初現金及約當現金餘額,784464.0,0.0,292032.0,0.0,2024-04-10 14:18:17,58
330,CashFlowStatement,1104,環泥,112,1,期末現金及約當現金餘額,840325.0,0.0,321924.0,0.0,2024-04-10 14:18:17,59
331,CashFlowStatement,1104,環泥,112,1,資產負債表帳列之現金及約當現金,840325.0,0.0,321924.0,0.0,2024-04-10 14:18:17,60
